title,release_year,genres,production_countries,region_tags,budget,revenue,vote_average,vote_count,original_language
Cold Souls,2009,"['Comedy', 'Drama', 'Fantasy', 'Science Fiction']",['United States of America'],['North America'],0,0,6.1,47,en
Division III: Football's Finest,2011,"['Comedy', 'Romance']",['United States of America'],['North America'],0,0,4.6,16,en
Death Race: Inferno,2013,"['Action', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],6500000,0,5.3,231,en
7 Kocalı Hürmüz,2009,"['Comedy', 'History', 'Romance']",['Turkey'],['Middle East'],0,0,6.7,5,tr
Space Pirate Captain Harlock,2013,"['Animation', 'Science Fiction']",['Japan'],['East Asia'],30000000,17137302,6.4,365,ja
Labyrinth of Lies,2014,"['Drama', 'History']",['Germany'],['Western Europe'],0,794452,7.3,199,de
Earthling,2011,"['Drama', 'Action', 'Thriller', 'Science Fiction']",['United States of America'],['North America'],0,0,3.3,7,en
The Gymnast,2006,"['Drama', 'Romance']",['United States of America'],['North America'],0,0,7.5,8,en
Entourage,2015,['Comedy'],['United States of America'],['North America'],30000000,49263404,6.2,502,en
Big Driver,2014,"['Crime', 'Mystery', 'Thriller']",['United States of America'],['North America'],0,0,5.5,62,en
Get Low,2010,"['Comedy', 'Drama', 'Mystery']",['United States of America'],['North America'],7500000,0,6.5,100,en
Semi-Pro,2008,['Comedy'],['United States of America'],['North America'],0,33472850,5.4,255,en
Eden,2015,"['Thriller', 'Drama']","['Malaysia', 'Spain', 'United States of America']","['North America', 'Western Europe', 'Southeast Asia']",2300000,0,5.5,20,en
Forks Over Knives,2011,['Documentary'],['United States of America'],['North America'],0,664747,7.0,46,en
Meltdown: Days of Destruction,2006,"['Action', 'Drama', 'Science Fiction', 'TV Movie']",['Canada'],['North America'],0,0,4.8,4,en
Alien Abduction: Incident in Lake County,1998,"['Drama', 'Horror', 'Science Fiction']",['United States of America'],['North America'],0,0,5.9,29,en
Bel Ami,2012,"['Romance', 'Drama']","['Italy', 'United Kingdom']",['Western Europe'],9000000,8303261,5.0,155,en
The Ugly Truth,2009,"['Comedy', 'Romance']",['United States of America'],['North America'],38000000,205298907,6.4,1005,en
Sharpe's Sword,1995,"['History', 'Action', 'Adventure']",['United Kingdom'],['Western Europe'],0,0,7.0,12,en
The Escapist,2008,"['Action', 'Thriller']","['United Kingdom', 'Ireland']","['Other', 'Western Europe']",0,0,6.4,79,en
Go Fish,1994,"['Drama', 'Romance']",['United States of America'],['North America'],0,0,3.9,5,en
SOMM: Into the Bottle,2016,['Documentary'],['United States of America'],['North America'],0,0,7.8,12,en
Pokémon: Spell of the Unknown,2000,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",['Japan'],['East Asia'],16000000,68411275,6.0,143,ja
Touching the Void,2003,"['Documentary', 'Action', 'Adventure']",['United Kingdom'],['Western Europe'],0,13885802,7.6,139,en
Biker Boyz,2003,"['Action', 'Drama']",['United States of America'],['North America'],24000000,23510601,5.0,63,en
Dixie Chicks: Shut Up and Sing,2006,['Documentary'],['United States of America'],['North America'],0,0,6.5,12,en
Queens Logic,1991,"['Comedy', 'Drama']",['United States of America'],['North America'],0,0,5.7,6,en
The Unauthorized Full House Story,2015,['Drama'],['United States of America'],['North America'],0,0,4.2,10,en
Banksy Does New York,2014,['Documentary'],['United States of America'],['North America'],0,0,6.9,32,en
Pretty as a Picture: The Art of David Lynch,1997,['Documentary'],['United States of America'],['North America'],0,0,7.4,8,en
The Class of '92,2013,['Documentary'],['United Kingdom'],['Western Europe'],0,0,7.1,35,en
Eight Legged Freaks,2002,"['Action', 'Comedy', 'Horror', 'Thriller']","['Australia', 'United States of America']","['North America', 'Oceania']",0,0,5.4,303,en
The Laramie Project,2002,"['Crime', 'Drama']",['United States of America'],['North America'],0,0,6.0,13,en
Run,1991,"['Action', 'Thriller', 'Drama']",['United States of America'],['North America'],16000000,4409328,5.5,13,en
Melody for a Street Organ,2009,['Drama'],['Ukraine'],['Eastern Europe'],0,0,5.4,5,ru
Bambou,2009,['Comedy'],['France'],['Western Europe'],0,0,5.0,1,en
Thirst,2009,"['Drama', 'Horror', 'Thriller']",['South Korea'],['East Asia'],5000000,0,7.0,198,ko
The Puppetmaster,1993,"['Mystery', 'Drama', 'War']",['Taiwan'],['East Asia'],0,0,6.6,9,zh
The Pagemaster,1994,"['Fantasy', 'Science Fiction', 'Family', 'Animation']",['United States of America'],['North America'],27000000,13670688,6.2,178,en
Elephant,2003,"['Drama', 'Crime']",['United States of America'],['North America'],3000000,10012022,7.0,410,en
Equilibrium,2002,"['Action', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],20000000,5359645,6.9,1584,en
Forest Warrior,1996,"['Action', 'Family']",['United States of America'],['North America'],0,0,2.7,16,en
The Last Dragonslayer,2016,"['Comedy', 'Adventure', 'Fantasy']",['United Kingdom'],['Western Europe'],0,0,5.9,9,en
Heroes Wanted,2016,['Comedy'],['Spain'],['Western Europe'],0,0,4.5,40,es
Puella Magi Madoka Magica the Movie Part I: Beginnings,2012,"['Thriller', 'Animation', 'Fantasy']",['Japan'],['East Asia'],0,0,7.8,31,ja
Whatever Works,2009,"['Comedy', 'Romance']","['France', 'United States of America']","['North America', 'Western Europe']",15000000,35097815,6.8,365,en
Nobody's Baby,2001,['Comedy'],['United States of America'],['North America'],0,0,4.7,7,en
The Perfect Match,2016,"['Comedy', 'Romance']",['United States of America'],['North America'],0,0,5.2,42,en
Eye of the Dolphin,2007,['Drama'],['United States of America'],['North America'],2500000,71904,7.1,7,en
The Cave of the Yellow Dog,2005,"['Documentary', 'Drama']","['Mongolia', 'Germany']","['Other', 'Western Europe']",0,0,7.3,22,mn
Mister Johnson,1990,['Drama'],['United States of America'],['North America'],0,0,5.8,9,en
Patch Adams,1998,"['Comedy', 'Drama']",['United States of America'],['North America'],50000000,202292902,7.0,863,en
Expelled,2014,['Comedy'],['United States of America'],['North America'],0,0,6.2,187,en
Passing Strange,2009,"['Drama', 'Music']",['United States of America'],['North America'],0,0,6.8,6,en
Xtro 3: Watch the Skies,1995,"['Horror', 'Science Fiction']",['United States of America'],['North America'],0,0,4.1,8,en
Cut!,2014,"['Thriller', 'Horror', 'Mystery']",['United States of America'],['North America'],0,0,2.5,5,en
Evil Angel,2009,"['Horror', 'Thriller']",['United States of America'],['North America'],0,0,4.7,7,en
Dead Air,2009,"['Horror', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],0,0,5.3,12,en
The Book Thief,2013,['Drama'],"['Germany', 'United States of America']","['North America', 'Western Europe']",0,76586316,7.4,1528,en
Nina,2016,"['Drama', 'Music']",['United States of America'],['North America'],0,0,5.7,22,en
Alma,2009,"['Animation', 'Fantasy', 'Mystery']","['Spain', 'United States of America']","['North America', 'Western Europe']",0,0,7.0,46,en
The Kid,2000,"['Fantasy', 'Comedy', 'Family']",['United States of America'],['North America'],65000000,69700000,6.0,242,en
The Con Artists,2014,"['Thriller', 'Action', 'Crime']",['South Korea'],['East Asia'],0,0,7.7,22,ko
Instrument: Ten Years with the Band Fugazi,1999,"['Documentary', 'Music']",['United States of America'],['North America'],0,0,7.1,7,en
The Peacekeeper,1998,"['Action', 'Thriller']","['Canada', 'United States of America']",['North America'],0,0,4.3,9,en
Point of No Return,1993,"['Crime', 'Drama', 'Thriller']",['United States of America'],['North America'],0,0,6.0,134,en
Cold Comfort Farm,1995,"['Comedy', 'Drama', 'Romance']",['United Kingdom'],['Western Europe'],0,0,7.0,21,en
Cloud 9,2014,"['Action', 'Drama', 'Romance', 'TV Movie']",['United States of America'],['North America'],0,0,6.1,90,en
Charles Darwin and the Tree of Life,2009,['Documentary'],['United Kingdom'],['Western Europe'],0,0,7.4,8,en
Samoure,2005,['Drama'],['Greece'],['Other'],0,0,7.8,2,en
Eve and the Fire Horse,2005,['Drama'],['Canada'],['North America'],1500000,0,7.0,2,en
After Life,2002,"['Crime', 'Drama']","['France', 'Belgium']",['Western Europe'],0,0,7.0,2,fr
Wild Things: Diamonds in the Rough,2005,"['Crime', 'Drama', 'Mystery']",['United States of America'],['North America'],0,0,4.3,29,en
Anamorph,2007,"['Crime', 'Thriller']",['United States of America'],['North America'],0,0,5.0,49,en
Fresh,1994,"['Crime', 'Drama', 'Thriller']","['France', 'United States of America']","['North America', 'Western Europe']",0,0,7.6,56,en
Miss You Can Do It,2013,"['Documentary', 'Family', 'Drama']",['United States of America'],['North America'],0,0,8.5,1,en
"Happy, Happy",2010,"['Drama', 'Comedy', 'Romance']",['Norway'],['Northern Europe'],0,0,6.1,14,no
Alien Autopsy,2006,"['Comedy', 'Science Fiction']","['Germany', 'United Kingdom']",['Western Europe'],0,0,5.8,49,en
"Rio, I Love You",2014,"['Drama', 'Romance']",['Brazil'],['Latin America'],0,0,3.8,17,pt
Almost Normal,2005,"['Science Fiction', 'Drama', 'Comedy']",['United States of America'],['North America'],0,0,5.3,8,en
Hamsun,1996,['Drama'],"['Denmark', 'Germany', 'Norway', 'Sweden']","['Northern Europe', 'Western Europe']",0,0,7.3,10,sv
Striking Range,2006,"['Action', 'Adventure', 'Drama', 'Thriller']",['United States of America'],['North America'],0,0,0.0,0,en
"Have Fun, Vasya!",2017,['Comedy'],['Russia'],['Eastern Europe'],707503,4781454,7.2,13,ru
Piñero,2001,['Drama'],['United States of America'],['North America'],0,0,7.0,1,en
Muhammad Ali's Greatest Fight,2013,['Drama'],['United States of America'],['North America'],0,0,5.9,10,en
Robotrix,1991,"['Action', 'Comedy', 'Science Fiction']",['Hong Kong'],['East Asia'],0,0,7.2,3,cn
Perfumed Ball,1997,['Drama'],['Brazil'],['Latin America'],0,0,8.0,2,pt
Still Alice,2014,['Drama'],['United States of America'],['North America'],5000000,43884652,7.5,1126,en
Spotlight,2015,"['Drama', 'Thriller', 'History']","['Canada', 'United States of America']",['North America'],20000000,88346473,7.8,2751,en
Stuart Little 3: Call of the Wild,2005,"['Fantasy', 'Animation', 'Comedy', 'Science Fiction', 'Family']",['United States of America'],['North America'],0,0,4.6,65,en
Homeless to Harvard: The Liz Murray Story,2003,"['Drama', 'TV Movie']",['United States of America'],['North America'],0,0,6.1,17,en
Soul Kitchen,2009,"['Drama', 'Comedy']",['Germany'],['Western Europe'],5000000,17872796,7.0,117,de
The Pit and the Pendulum,2009,"['Fantasy', 'Horror', 'Thriller']",['United States of America'],['North America'],0,0,2.3,6,en
47 Meters Down,2017,"['Drama', 'Thriller', 'Horror', 'Adventure']",['United Kingdom'],['Western Europe'],5500000,44235023,5.1,548,en
Revenge of the Nerds III: The Next Generation,1992,['Comedy'],['United States of America'],['North America'],0,0,4.0,18,en
Off Beat,2004,['Drama'],['Germany'],['Western Europe'],0,0,6.5,16,de
